"Sample","Num_Segments","Mean_Seg_Mean","Frac_Amp","Frac_Del","SampleType"
"TCGA-3C-AAAU-01A-11D-A41E-01",313,0.358954632587859,0.466453674121406,0.166134185303514,"Tumor"
"TCGA-3C-AAAU-10A-01D-A41E-01",67,-0.352637313432836,0.0447761194029851,0.283582089552239,"Normal"
"TCGA-3C-AALI-01A-11D-A41E-01",298,0.047058389261745,0.395973154362416,0.369127516778524,"Tumor"
"TCGA-3C-AALI-10A-01D-A41E-01",91,-0.49892967032967,0.021978021978022,0.351648351648352,"Normal"
"TCGA-3C-AALJ-01A-31D-A41E-01",483,0.224500414078675,0.438923395445135,0.240165631469979,"Tumor"
"TCGA-3C-AALJ-10A-01D-A41E-01",117,-0.528246153846154,0.0170940170940171,0.384615384615385,"Normal"
"TCGA-3C-AALK-01A-11D-A41E-01",104,-0.158308653846154,0.230769230769231,0.307692307692308,"Tumor"
"TCGA-3C-AALK-10A-01D-A41E-01",121,-0.435560330578512,0.0413223140495868,0.363636363636364,"Normal"
"TCGA-4H-AAAK-01A-12D-A41E-01",109,-0.286729357798165,0.0825688073394495,0.385321100917431,"Tumor"
"TCGA-4H-AAAK-10A-01D-A41E-01",61,-0.3546,0,0.311475409836066,"Normal"
"TCGA-5L-AAT0-01A-12D-A41E-01",101,-0.246972277227723,0.0693069306930693,0.356435643564356,"Tumor"
"TCGA-5L-AAT0-10A-01D-A41E-01",95,-0.342133684210526,0.0526315789473684,0.326315789473684,"Normal"
"TCGA-5L-AAT1-01A-12D-A41E-01",80,-0.26271375,0.0625,0.3375,"Tumor"
"TCGA-5L-AAT1-10A-01D-A41E-01",105,-0.438231428571429,0.0285714285714286,0.371428571428571,"Normal"
"TCGA-5T-A9QA-01A-11D-A41E-01",216,-0.250259259259259,0.291666666666667,0.421296296296296,"Tumor"
"TCGA-5T-A9QA-10A-01D-A41E-01",57,-0.518259649122807,0,0.298245614035088,"Normal"
"TCGA-A1-A0SB-01A-11D-A141-01",65,-0.338866153846154,0.0307692307692308,0.292307692307692,"Tumor"
"TCGA-A1-A0SB-10B-01D-A141-01",53,-0.318156603773585,0.0377358490566038,0.245283018867925,"Normal"
"TCGA-A1-A0SD-01A-11D-A111-01",119,-0.155179831932773,0.310924369747899,0.310924369747899,"Tumor"
"TCGA-A1-A0SD-10A-01D-A113-01",51,-0.436327450980392,0.0196078431372549,0.254901960784314,"Normal"
"TCGA-A1-A0SE-01A-11D-A087-01",111,-0.240920720720721,0.216216216216216,0.288288288288288,"Tumor"
"TCGA-A1-A0SE-10A-03D-A087-01",238,-0.00764495798319328,0.172268907563025,0.113445378151261,"Normal"
"TCGA-A1-A0SF-01A-11D-A141-01",121,-0.061601652892562,0.181818181818182,0.322314049586777,"Tumor"
"TCGA-A1-A0SF-10B-01D-A141-01",37,-0.508494594594595,0,0.189189189189189,"Normal"
"TCGA-A1-A0SG-01A-11D-A141-01",89,-0.422541573033708,0.123595505617978,0.404494382022472,"Tumor"
"TCGA-A1-A0SG-10B-01D-A141-01",55,-0.450467272727273,0,0.290909090909091,"Normal"
"TCGA-A1-A0SH-01A-11D-A087-01",135,-0.248945185185185,0.103703703703704,0.362962962962963,"Tumor"
"TCGA-A1-A0SH-10A-03D-A087-01",45,-0.326886666666667,0.0222222222222222,0.222222222222222,"Normal"
